"filename", "language", "JavaScript", "CSS", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\components\DriveDash.js", "JavaScript", 63, 0, 0, 0, 5, 8, 76
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\components\TaskDash.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\dashboard.css", "CSS", 0, 163, 0, 0, 22, 32, 217
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\index.js", "JavaScript", 64, 0, 0, 0, 63, 7, 134
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\pages\BudgetDashPage.js", "JavaScript", 11, 0, 0, 0, 2, 3, 16
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\pages\DriveDashPage.js", "JavaScript", 16, 0, 0, 0, 2, 5, 23
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\pages\TaskDashPage.js", "JavaScript", 15, 0, 0, 0, 3, 5, 23
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\Buttons\AddFileButton.js", "JavaScript", 132, 0, 0, 0, 125, 27, 284
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\Buttons\AddFolderButton.js", "JavaScript", 98, 0, 0, 0, 0, 11, 109
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\Buttons\HomeButton.js", "JavaScript", 20, 0, 0, 0, 0, 2, 22
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\files\File.js", "JavaScript", 101, 0, 0, 0, 0, 6, 107
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\files\FilesEmptyState.js", "JavaScript", 22, 0, 0, 0, 0, 2, 24
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\files\FilesTable.js", "JavaScript", 27, 0, 0, 0, 0, 2, 29
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\files\FilesTableSkeleton.js", "JavaScript", 45, 0, 0, 0, 0, 3, 48
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\folders\Folder.js", "JavaScript", 73, 0, 0, 0, 10, 10, 93
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\folders\FolderGrid.js", "JavaScript", 13, 0, 0, 0, 0, 2, 15
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\layout\DashboardDrive.js", "JavaScript", 190, 0, 0, 0, 12, 17, 219
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\layout\DashboardDriveElements.js", "JavaScript", 39, 0, 0, 0, 1, 8, 48
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\layout\FolderBreadCrumbs.js", "JavaScript", 48, 0, 0, 0, 0, 3, 51
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\popupmodal\Modal.css", "CSS", 0, 24, 0, 0, 0, 4, 28
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\popupmodal\Modal.js", "JavaScript", 144, 0, 0, 0, 0, 15, 159
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\hooks\useFolder.js", "JavaScript", 132, 0, 0, 0, 132, 21, 285
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\utilities\CenterContainer.js", "JavaScript", 21, 0, 0, 0, 0, 3, 24
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\utilities\theme.js", "JavaScript", 7, 0, 0, 0, 0, 2, 9
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Forgotpass\forgotpass.css", "CSS", 0, 210, 0, 0, 26, 26, 262
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Forgotpass\forgotpass.js", "JavaScript", 47, 0, 0, 0, 0, 8, 55
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Forgotpass\image\forgotpass.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Forgotpass\index.js", "JavaScript", 27, 0, 0, 0, 0, 3, 30
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\ButtonElements.js", "JavaScript", 22, 0, 0, 0, 0, 2, 24
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Footer\FooterElements.js", "JavaScript", 160, 0, 0, 0, 6, 10, 176
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Footer\index.js", "JavaScript", 64, 0, 0, 0, 0, 5, 69
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Hero\HeroElements.js", "JavaScript", 94, 0, 0, 0, 1, 5, 100
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Hero\index.js", "JavaScript", 27, 0, 0, 0, 0, 4, 31
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Info\Data.js", "JavaScript", 68, 0, 0, 0, 0, 4, 72
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Info\InfoElements.js", "JavaScript", 99, 0, 0, 0, 0, 3, 102
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Info\index.js", "JavaScript", 57, 0, 0, 0, 1, 3, 61
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Navbar\NavbarElements.js", "JavaScript", 125, 0, 0, 0, 1, 6, 132
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Navbar\index.js", "JavaScript", 64, 0, 0, 0, 11, 7, 82
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\ScrollToTop.js", "JavaScript", 9, 0, 0, 0, 0, 3, 12
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Services\ServiceElements.js", "JavaScript", 75, 0, 0, 0, 0, 3, 78
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\Services\index.js", "JavaScript", 36, 0, 0, 0, 0, 2, 38
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\SideBar\SidebarElements.js", "JavaScript", 89, 0, 0, 0, 1, 4, 94
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\components\SideBar\index.js", "JavaScript", 34, 0, 0, 0, 2, 3, 39
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\EasyAccess.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\Privacy.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\Security.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\ToolUnity.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\ToolUnity1.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\VarietyOptions.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\svg-1.svg", "XML", 0, 0, 45, 0, 0, 1, 46
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\svg-3.svg", "XML", 0, 0, 46, 0, 0, 1, 47
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\svg-4.svg", "XML", 0, 0, 41, 0, 0, 1, 42
"c:\Users\syedh\OneDrive\Desktop\Antive\src\LandingPage\images\svg-5.svg", "XML", 0, 0, 72, 0, 0, 1, 73
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Login\Login.css", "CSS", 0, 295, 0, 0, 20, 34, 349
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Login\Login.js", "JavaScript", 94, 0, 0, 0, 6, 12, 112
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Login\image\login.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Login\index.js", "JavaScript", 25, 0, 0, 0, 0, 3, 28
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Login\toastInfo.js", "JavaScript", 14, 0, 0, 0, 0, 1, 15
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialForgotPass\OfficialForgotPass.css", "CSS", 0, 235, 0, 0, 9, 27, 271
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialForgotPass\OfficialForgotPass.js", "JavaScript", 80, 0, 0, 0, 4, 11, 95
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialForgotPass\image\forgotpass.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Pages\Home.js", "JavaScript", 58, 0, 0, 0, 7, 6, 71
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\About\index.js", "JavaScript", 144, 0, 0, 0, 0, 14, 158
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\Contact\index.js", "JavaScript", 169, 0, 0, 0, 2, 7, 178
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\Hero\index.js", "JavaScript", 216, 0, 0, 0, 12, 25, 253
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainFooter\MinimalFooter.js", "JavaScript", 82, 0, 0, 0, 2, 8, 92
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\TwoColSingleFeatureWithStats2\TwoColSingleFeatureWithStats2.js", "JavaScript", 107, 0, 0, 0, 2, 11, 120
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\TwoColWithButton\TwoColWithButton.js", "JavaScript", 75, 0, 0, 0, 1, 10, 86
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\TwoColWithTwoHorizontalFeaturesAndButton\TwoColHorizontalFeaturesfour.js", "JavaScript", 142, 0, 0, 0, 6, 15, 163
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\TwoColWithTwoHorizontalFeaturesAndButton\TwoColHorizontalFeaturesthree.js", "JavaScript", 142, 0, 0, 0, 6, 15, 163
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\TwoColWithTwoHorizontalFeaturesAndButton\TwoColHorizontalFeaturestwo.js", "JavaScript", 142, 0, 0, 0, 6, 15, 163
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\TwoColWithTwoHorizontalFeaturesAndButton\TwoColWithTwoHorizontalFeaturesAndButton.js", "JavaScript", 142, 0, 0, 0, 6, 15, 163
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\Budget.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\Chat.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\TodoList.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\Vault.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\arrow-left-2-icon.svg", "XML", 0, 0, 4, 0, 0, 1, 5
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\arrow-left-3-icon.svg", "XML", 0, 0, 1, 0, 0, 1, 2
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\arrow-right-2-icon.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\arrow-right-3-icon.svg", "XML", 0, 0, 1, 0, 0, 1, 2
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\arrow-right-icon.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\celebration-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\checkbox-circle.svg", "XML", 0, 0, 4, 0, 0, 1, 5
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\chef-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\contact-us-illustration.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\customer-support-illustration.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\customize-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\design-illustration-2.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\design-illustration.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\dot-pattern copy.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\dot-pattern.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\email-illustration.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\email-newsletter-icon.svg", "XML", 0, 0, 8, 0, 0, 1, 9
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\facebook-icon.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\fast-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\girl-illustration.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\github-icon.svg", "XML", 0, 0, 9, 0, 0, 1, 10
