Date : 2021-08-30 14:16:19
Directory : c:\Users\syedh\OneDrive\Desktop\antify\src
Total : 152 files,  8382 codes, 1271 comments, 1044 blanks, all 10697 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Forgotpass\index.js                                | JavaScript |         27 |          0 |          3 |         30 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\components\ButtonElements.js           | JavaScript |         22 |          0 |          2 |         24 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\components\Footer\FooterElements.js    | JavaScript |        123 |          0 |          5 |        128 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\components\Footer\index.js             | JavaScript |         41 |          0 |          3 |         44 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\components\Hero\HeroElements.js        | JavaScript |         94 |          1 |          5 |        100 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\components\Hero\index.js               | JavaScript |         27 |          0 |          4 |         31 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\components\Info\Data.js                | JavaScript |         68 |          0 |          3 |         71 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\components\Info\InfoElements.js        | JavaScript |         93 |          0 |          2 |         95 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\components\Info\index.js               | JavaScript |         29 |          1 |          3 |         33 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\components\Navbar\NavbarElements.js    | JavaScript |        110 |          0 |          4 |        114 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\components\Navbar\index.js             | JavaScript |         51 |          0 |          6 |         57 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\components\ScrollToTop.js              | JavaScript |          9 |          0 |          3 |         12 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\components\Services\ServiceElements.js | JavaScript |         74 |          0 |          2 |         76 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\components\Services\index.js           | JavaScript |         36 |          0 |          2 |         38 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\components\SideBar\SidebarElements.js  | JavaScript |         80 |          1 |          2 |         83 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\components\SideBar\index.js            | JavaScript |         21 |          0 |          2 |         23 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\images\EasyAccess.svg                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\images\Privacy.svg                     | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\images\ToolUnity.svg                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\images\svg-1.svg                       | XML        |         45 |          0 |          1 |         46 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\images\svg-3.svg                       | XML        |         46 |          0 |          1 |         47 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\images\svg-4.svg                       | XML        |         41 |          0 |          1 |         42 |
