"filename", "language", "JavaScript", "CSS", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\syedh\OneDrive\Desktop\antify\src\Agenda\components\AddProject.js", "JavaScript", 83, 0, 0, 0, 77, 12, 172
"c:\Users\syedh\OneDrive\Desktop\antify\src\Agenda\components\AddTask.js", "JavaScript", 176, 0, 0, 0, 167, 21, 364
"c:\Users\syedh\OneDrive\Desktop\antify\src\Agenda\components\Checkbox.js", "JavaScript", 22, 0, 0, 0, 0, 4, 26
"c:\Users\syedh\OneDrive\Desktop\antify\src\Agenda\components\IndividualProject.js", "JavaScript", 59, 0, 0, 0, 0, 4, 63
"c:\Users\syedh\OneDrive\Desktop\antify\src\Agenda\components\ProjectOverlay.js", "JavaScript", 44, 0, 0, 0, 0, 3, 47
"c:\Users\syedh\OneDrive\Desktop\antify\src\Agenda\components\Projects.js", "JavaScript", 32, 0, 0, 0, 0, 4, 36
"c:\Users\syedh\OneDrive\Desktop\antify\src\Agenda\components\TaskDate.js", "JavaScript", 85, 0, 0, 0, 0, 2, 87
"c:\Users\syedh\OneDrive\Desktop\antify\src\Agenda\components\Tasks.js", "JavaScript", 43, 0, 0, 0, 0, 8, 51
"c:\Users\syedh\OneDrive\Desktop\antify\src\Agenda\components\layout\AgendaElements.js", "JavaScript", 66, 0, 0, 0, 10, 12, 88
"c:\Users\syedh\OneDrive\Desktop\antify\src\Agenda\components\layout\Content.js", "JavaScript", 9, 0, 0, 0, 0, 3, 12
"c:\Users\syedh\OneDrive\Desktop\antify\src\Agenda\components\layout\HeaderAgenda.css", "CSS", 0, 11, 0, 0, 1, 4, 16
"c:\Users\syedh\OneDrive\Desktop\antify\src\Agenda\components\layout\HeaderAgenda.js", "JavaScript", 49, 0, 0, 0, 5, 10, 64
"c:\Users\syedh\OneDrive\Desktop\antify\src\Agenda\components\layout\SidebarAgenda.js", "JavaScript", 127, 0, 0, 0, 6, 5, 138
"c:\Users\syedh\OneDrive\Desktop\antify\src\Agenda\constants\index.js", "JavaScript", 5, 0, 0, 0, 0, 0, 5
"c:\Users\syedh\OneDrive\Desktop\antify\src\Agenda\context\index.js", "JavaScript", 18, 0, 0, 0, 0, 3, 21
"c:\Users\syedh\OneDrive\Desktop\antify\src\Agenda\context\projects-context.js", "JavaScript", 16, 0, 0, 0, 0, 4, 20
"c:\Users\syedh\OneDrive\Desktop\antify\src\Agenda\context\selected-project-context.js", "JavaScript", 17, 0, 0, 0, 0, 4, 21
"c:\Users\syedh\OneDrive\Desktop\antify\src\Agenda\helpers\index.js", "JavaScript", 25, 0, 0, 0, 0, 10, 35
"c:\Users\syedh\OneDrive\Desktop\antify\src\Agenda\hooks\index.js", "JavaScript", 68, 0, 0, 0, 65, 24, 157
"c:\Users\syedh\OneDrive\Desktop\antify\src\App.css", "CSS", 0, 11, 0, 0, 1, 2, 14
"c:\Users\syedh\OneDrive\Desktop\antify\src\App.js", "JavaScript", 52, 0, 0, 0, 31, 12, 95
"c:\Users\syedh\OneDrive\Desktop\antify\src\App.scss", "SCSS", 0, 0, 0, 662, 45, 95, 802
"c:\Users\syedh\OneDrive\Desktop\antify\src\Budget\Balance.js", "JavaScript", 24, 0, 0, 0, 2, 3, 29
"c:\Users\syedh\OneDrive\Desktop\antify\src\Budget\ExpenseCard.js", "JavaScript", 70, 0, 0, 0, 16, 7, 93
"c:\Users\syedh\OneDrive\Desktop\antify\src\Budget\NewTransaction.js", "JavaScript", 112, 0, 0, 0, 15, 10, 137
"c:\Users\syedh\OneDrive\Desktop\antify\src\Budget\Transaction.js", "JavaScript", 82, 0, 0, 0, 10, 6, 98
"c:\Users\syedh\OneDrive\Desktop\antify\src\Budget\TransactionIterate.js", "JavaScript", 33, 0, 0, 0, 4, 5, 42
"c:\Users\syedh\OneDrive\Desktop\antify\src\Budget\styles.css", "CSS", 0, 68, 0, 0, 0, 10, 78
"c:\Users\syedh\OneDrive\Desktop\antify\src\Chat\components\Chats.js", "JavaScript", 82, 0, 0, 0, 3, 19, 104
"c:\Users\syedh\OneDrive\Desktop\antify\src\Chat\index.css", "CSS", 0, 83, 0, 0, 3, 16, 102
"c:\Users\syedh\OneDrive\Desktop\antify\src\Dashboard\DriveElements.js", "JavaScript", 17, 0, 0, 0, 0, 4, 21
"c:\Users\syedh\OneDrive\Desktop\antify\src\Dashboard\components\BudgetDash.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\syedh\OneDrive\Desktop\antify\src\Dashboard\components\DriveDash.js", "JavaScript", 63, 0, 0, 0, 5, 8, 76
"c:\Users\syedh\OneDrive\Desktop\antify\src\Dashboard\components\TaskDash.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\syedh\OneDrive\Desktop\antify\src\Dashboard\dashboard.css", "CSS", 0, 130, 0, 0, 21, 29, 180
"c:\Users\syedh\OneDrive\Desktop\antify\src\Dashboard\index.js", "JavaScript", 46, 0, 0, 0, 28, 5, 79
"c:\Users\syedh\OneDrive\Desktop\antify\src\Dashboard\pages\BudgetDashPage.js", "JavaScript", 11, 0, 0, 0, 1, 3, 15
"c:\Users\syedh\OneDrive\Desktop\antify\src\Dashboard\pages\DriveDashPage.js", "JavaScript", 16, 0, 0, 0, 2, 5, 23
"c:\Users\syedh\OneDrive\Desktop\antify\src\Dashboard\pages\TaskDashPage.js", "JavaScript", 15, 0, 0, 0, 3, 5, 23
"c:\Users\syedh\OneDrive\Desktop\antify\src\Drive\components\Buttons\AddFileButton.js", "JavaScript", 132, 0, 0, 0, 125, 27, 284
"c:\Users\syedh\OneDrive\Desktop\antify\src\Drive\components\Buttons\AddFolderButton.js", "JavaScript", 98, 0, 0, 0, 0, 11, 109
"c:\Users\syedh\OneDrive\Desktop\antify\src\Drive\components\Buttons\HomeButton.js", "JavaScript", 20, 0, 0, 0, 0, 2, 22
"c:\Users\syedh\OneDrive\Desktop\antify\src\Drive\components\files\File.js", "JavaScript", 101, 0, 0, 0, 0, 6, 107
"c:\Users\syedh\OneDrive\Desktop\antify\src\Drive\components\files\FilesEmptyState.js", "JavaScript", 22, 0, 0, 0, 0, 2, 24
"c:\Users\syedh\OneDrive\Desktop\antify\src\Drive\components\files\FilesTable.js", "JavaScript", 27, 0, 0, 0, 0, 2, 29
"c:\Users\syedh\OneDrive\Desktop\antify\src\Drive\components\files\FilesTableSkeleton.js", "JavaScript", 45, 0, 0, 0, 0, 3, 48
"c:\Users\syedh\OneDrive\Desktop\antify\src\Drive\components\folders\Folder.js", "JavaScript", 73, 0, 0, 0, 10, 10, 93
"c:\Users\syedh\OneDrive\Desktop\antify\src\Drive\components\folders\FolderGrid.js", "JavaScript", 13, 0, 0, 0, 0, 2, 15
"c:\Users\syedh\OneDrive\Desktop\antify\src\Drive\components\layout\DashboardDrive.js", "JavaScript", 176, 0, 0, 0, 4, 16, 196
"c:\Users\syedh\OneDrive\Desktop\antify\src\Drive\components\layout\DashboardDriveElements.js", "JavaScript", 30, 0, 0, 0, 0, 7, 37
"c:\Users\syedh\OneDrive\Desktop\antify\src\Drive\components\layout\FolderBreadCrumbs.js", "JavaScript", 48, 0, 0, 0, 0, 3, 51
"c:\Users\syedh\OneDrive\Desktop\antify\src\Drive\components\popupmodal\Modal.css", "CSS", 0, 24, 0, 0, 0, 4, 28
"c:\Users\syedh\OneDrive\Desktop\antify\src\Drive\components\popupmodal\Modal.js", "JavaScript", 144, 0, 0, 0, 0, 15, 159
"c:\Users\syedh\OneDrive\Desktop\antify\src\Drive\hooks\useFolder.js", "JavaScript", 132, 0, 0, 0, 132, 21, 285
"c:\Users\syedh\OneDrive\Desktop\antify\src\Drive\utilities\CenterContainer.js", "JavaScript", 21, 0, 0, 0, 3, 3, 27
"c:\Users\syedh\OneDrive\Desktop\antify\src\Drive\utilities\theme.js", "JavaScript", 7, 0, 0, 0, 0, 2, 9
"c:\Users\syedh\OneDrive\Desktop\antify\src\Forgotpass\forgotpass.css", "CSS", 0, 210, 0, 0, 26, 26, 262
